ID_BARRIO	DESCRIPCION_BARRIO	ID_DISTRITO	DESCRIPCION_DISTRITO
011	PALACIO	01	Centro
012	EMBAJADORES	01	Centro
013	CORTES	01	Centro
014	JUSTICIA	01	Centro
015	UNIVERSIDAD	01	Centro
016	SOL	01	Centro
021	IMPERIAL	02	Arganzuela
022	ACACIAS	02	Arganzuela
023	CHOPERA	02	Arganzuela
024	LEGAZPI	02	Arganzuela
025	DELICIAS	02	Arganzuela
026	PALOS DE MOGUER	02	Arganzuela
027	ATOCHA	02	Arganzuela
031	PACÍFICO	03	Retiro
032	ADELFAS	03	Retiro
033	ESTRELLA	03	Retiro
034	IBIZA	03	Retiro
035	LOS JERÓNIMOS	03	Retiro
036	NIÑO JESÚS	03	Retiro
041	RECOLETOS	04	Salamanca
042	GOYA	04	Salamanca
043	FUENTE DEL BERRO	04	Salamanca
044	GUINDALERA	04	Salamanca
045	LISTA	04	Salamanca
046	CASTELLANA	04	Salamanca
051	EL VISO	05	Chamartín
052	PROSPERIDAD	05	Chamartín
053	CIUDAD JARDÍN	05	Chamartín
054	HISPANOAMÉRICA	05	Chamartín
055	NUEVA ESPAÑA	05	Chamartín
056	CASTILLA	05	Chamartín
061	BELLAS VISTAS	06	Tetuán
062	CUATRO CAMINOS	06	Tetuán
063	CASTILLEJOS	06	Tetuán
064	ALMENARA	06	Tetuán
065	VALDEACEDERAS	06	Tetuán
066	BERRUGUETE	06	Tetuán
071	GAZTAMBIDE	07	Chamberí
072	ARAPILES	07	Chamberí
073	TRAFALGAR	07	Chamberí
074	ALMAGRO	07	Chamberí
075	RIOS ROSAS	07	Chamberí
076	VALLEHERMOSO	07	Chamberí
081	EL PARDO	08	Fuencarral - El Pardo
082	FUENTELARREINA	08	Fuencarral - El Pardo
083	PEÑA GRANDE	08	Fuencarral - El Pardo
084	EL PILAR	08	Fuencarral - El Pardo
085	LA PAZ	08	Fuencarral - El Pardo
086	VALVERDE	08	Fuencarral - El Pardo
087	MIRASIERRA	08	Fuencarral - El Pardo
088	EL GOLOSO	08	Fuencarral - El Pardo
091	CASA DE CAMPO	09	Moncloa - Aravaca
092	ARGÜELLES	09	Moncloa - Aravaca
093	CIUDAD UNIVERSITARIA	09	Moncloa - Aravaca
094	VALDEZARZA	09	Moncloa - Aravaca
095	VALDEMARÍN	09	Moncloa - Aravaca
096	EL PLANTÍO	09	Moncloa - Aravaca
097	ARAVACA	09	Moncloa - Aravaca
101	LOS CARMENES	10	Latina
102	PUERTA DEL ANGEL	10	Latina
103	LUCERO	10	Latina
104	ALUCHE	10	Latina
105	CAMPAMENTO	10	Latina
106	CUATRO VIENTOS	10	Latina
107	LAS AGUILAS	10	Latina
111	COMILLAS	11	Carabanchel
112	OPAÑEL	11	Carabanchel
113	SAN ISIDRO	11	Carabanchel
114	VISTA ALEGRE	11	Carabanchel
115	PUERTA BONITA	11	Carabanchel
116	BUENAVISTA	11	Carabanchel
117	ABRANTES	11	Carabanchel
121	ORCASITAS	12	Usera
122	ORCASUR	12	Usera
123	SAN FERMÍN	12	Usera
124	ALMENDRALES	12	Usera
125	MOSCARDO	12	Usera
126	ZOFÍO	12	Usera
127	PRADOLONGO	12	Usera
131	ENTREVÍAS	13	Puente de Vallecas
132	SAN DIEGO	13	Puente de Vallecas
133	PALOMERAS BAJAS	13	Puente de Vallecas
134	PALOMERAS SURESTE	13	Puente de Vallecas
135	PORTAZGO	13	Puente de Vallecas
136	NUMANCIA	13	Puente de Vallecas
141	PAVONES	14	Moratalaz
142	HORCAJO	14	Moratalaz
143	MARROQUINA	14	Moratalaz
144	MEDIA LEGUA	14	Moratalaz
145	FONTARRÓN	14	Moratalaz
146	VINATEROS	14	Moratalaz
151	VENTAS	15	Ciudad Lineal
152	PUEBLO NUEVO	15	Ciudad Lineal
153	QUINTANA	15	Ciudad Lineal
154	CONCEPCION	15	Ciudad Lineal
155	SAN PASCUAL	15	Ciudad Lineal
156	SAN JUAN BAUTISTA	15	Ciudad Lineal
157	COLINA	15	Ciudad Lineal
158	ATALAYA	15	Ciudad Lineal
159	COSTILLARES	15	Ciudad Lineal
161	PALOMAS	16	Hortaleza
162	PIOVERA	16	Hortaleza
163	CANILLAS	16	Hortaleza
164	PINAR DEL REY	16	Hortaleza
165	APOSTOL SANTIAGO	16	Hortaleza
166	VALDEFUENTES	16	Hortaleza
171	SAN ANDRÉS	17	Villaverde
172	SAN CRISTOBAL	17	Villaverde
173	BUTARQUE	17	Villaverde
174	LOS ROSALES	17	Villaverde
175	LOS ANGELES	17	Villaverde
181	CASCO H. VALLECAS	18	Villa de Vallecas
182	SANTA EUGENIA	18	Villa de Vallecas
191	CASCO H. VICALVARO	19	Vicálvaro
192	AMBROZ	19	Vicálvaro
201	SIMANCAS	20	San Blas
202	HELLÍN	20	San Blas
203	AMPOSTA	20	San Blas
204	ARCOS	20	San Blas
205	ROSAS	20	San Blas
206	REJAS	20	San Blas
207	CANILLEJAS	20	San Blas
208	EL SALVADOR	20	San Blas
211	ALAMEDA DE OSUNA	21	Barajas
212	AEROPUERTO	21	Barajas
213	CASCO H. BARAJAS	21	Barajas
214	TIMÓN	21	Barajas
215	CORRALEJOS	21	Barajas