Distrito,Barrio,Población,Fecha,GEOCODIGO
CENTRO,PALACIO,22471,10/1/2013,079011
CENTRO,EMBAJADORES,46264,10/1/2013,079012
CENTRO,CORTES,10717,10/1/2013,079013
CENTRO,JUSTICIA,16847,10/1/2013,079014
CENTRO,UNIVERSIDAD,31714,10/1/2013,079015
CENTRO,SOL,7577,10/1/2013,079016
ARGANZUELA,IMPERIAL,22978,10/1/2013,079021
ARGANZUELA,LAS ACACIAS,37104,10/1/2013,079022
ARGANZUELA,LA CHOPERA,20355,10/1/2013,079023
ARGANZUELA,LEGAZPI,17550,10/1/2013,079024
ARGANZUELA,DELICIAS,27088,10/1/2013,079025
ARGANZUELA,PALOS DE MOGUER,26421,10/1/2013,079026
ARGANZUELA,ATOCHA,1090,10/1/2013,079027
RETIRO,PACIFICO,34394,10/1/2013,079031
RETIRO,ADELFAS,17295,10/1/2013,079032
RETIRO,ESTRELLA,23437,10/1/2013,079033
RETIRO,IBIZA,21792,10/1/2013,079034
RETIRO,JERONIMOS,7125,10/1/2013,079035
RETIRO,NINO JESUS,15305,10/1/2013,079036
SALAMANCA,RECOLETOS,15293,10/1/2013,079041
SALAMANCA,GOYA,29241,10/1/2013,079042
SALAMANCA,FUENTE DEL BERRO,21196,10/1/2013,079043
SALAMANCA,GUINDALERA,40768,10/1/2013,079044
SALAMANCA,LISTA,20780,10/1/2013,079045
SALAMANCA,CASTELLANA,16787,10/1/2013,079046
CHAMARTIN,EL VISO,16795,10/1/2013,079051
CHAMARTIN,PROSPERIDAD,36873,10/1/2013,079052
CHAMARTIN,CIUDAD JARDIN,18256,10/1/2013,079053
CHAMARTIN,HISPANOAMERICA,31374,10/1/2013,079054
CHAMARTIN,NUEVA ESPANA,23398,10/1/2013,079055
CHAMARTIN,CASTILLA,16804,10/1/2013,079056
TETUAN,BELLAS VISTAS,28493,10/1/2013,079061
TETUAN,CUATRO CAMINOS,33864,10/1/2013,079062
TETUAN,CASTILLEJOS,20080,10/1/2013,079063
TETUAN,ALMENARA,21921,10/1/2013,079064
TETUAN,VALDEACEDERAS,25252,10/1/2013,079065
TETUAN,BERRUGUETE,23905,10/1/2013,079066
CHAMBERI,GAZTAMBIDE,23097,10/1/2013,079071
CHAMBERI,ARAPILES,24761,10/1/2013,079072
CHAMBERI,TRAFALGAR,24721,10/1/2013,079073
CHAMBERI,ALMAGRO,19722,10/1/2013,079074
CHAMBERI,RIOS ROSAS,27305,10/1/2013,079075
CHAMBERI,VALLEHERMOSO,19988,10/1/2013,079076
FUENCARRAL-EL PARDO,EL PARDO,3498,10/1/2013,079081
FUENCARRAL-EL PARDO,FUENTELARREINA,3250,10/1/2013,079082
FUENCARRAL-EL PARDO,PENA GRANDE,44751,10/1/2013,079083
FUENCARRAL-EL PARDO,EL PILAR,46616,10/1/2013,079084
FUENCARRAL-EL PARDO,LA PAZ,34731,10/1/2013,079085
FUENCARRAL-EL PARDO,VALVERDE,56507,10/1/2013,079086
FUENCARRAL-EL PARDO,MIRASIERRA,28885,10/1/2013,079087
FUENCARRAL-EL PARDO,EL GOLOSO,15292,10/1/2013,079088
MONCLOA-ARAVACA,CASA DE CAMPO,12301,10/1/2013,079091
MONCLOA-ARAVACA,ARGUELLES,24138,10/1/2013,079092
MONCLOA-ARAVACA,CIUDAD UNIVERSITARIA,15687,10/1/2013,079093
MONCLOA-ARAVACA,VALDEZARZA,29874,10/1/2013,079094
MONCLOA-ARAVACA,VALDEMARIN,6206,10/1/2013,079095
MONCLOA-ARAVACA,EL PLANTIO,2449,10/1/2013,079096
MONCLOA-ARAVACA,ARAVACA,25621,10/1/2013,079097
LATINA,LOS CARMENES,17343,10/1/2013,079101
LATINA,PUERTA DEL ANGEL,42153,10/1/2013,079102
LATINA,LUCERO,36213,10/1/2013,079103
LATINA,ALUCHE,68257,10/1/2013,079104
LATINA,CAMPAMENTO,19286,10/1/2013,079105
LATINA,CUATRO VIENTOS,4609,10/1/2013,079106
LATINA,LAS AGUILAS,52546,10/1/2013,079107
CARABANCHEL,COMILLAS,22626,10/1/2013,079111
CARABANCHEL,OPANEL,31957,10/1/2013,079112
CARABANCHEL,SAN ISIDRO,38434,10/1/2013,079113
CARABANCHEL,VISTA ALEGRE,44764,10/1/2013,079114
CARABANCHEL,PUERTA BONITA,33270,10/1/2013,079115
CARABANCHEL,BUENAVISTA,44046,10/1/2013,079116
CARABANCHEL,ABRANTES,29539,10/1/2013,079117
USERA,ORCASITAS,22354,10/1/2013,079121
USERA,ORCASUR,13313,10/1/2013,079122
USERA,SAN FERMIN,22555,10/1/2013,079123
USERA,ALMENDRALES,20993,10/1/2013,079124
USERA,MOSCARDO,25451,10/1/2013,079125
USERA,ZOFIO,13494,10/1/2013,079126
USERA,PRADOLONGO,16644,10/1/2013,079127
PUENTE DE VALLECAS,ENTREVIAS,33898,10/1/2013,079131
PUENTE DE VALLECAS,SAN DIEGO,39234,10/1/2013,079132
PUENTE DE VALLECAS,PALOMERAS BAJAS,40059,10/1/2013,079133
PUENTE DE VALLECAS,PALOMERAS SURESTE,42599,10/1/2013,079134
PUENTE DE VALLECAS,PORTAZGO,28169,10/1/2013,079135
PUENTE DE VALLECAS,NUMANCIA,46932,10/1/2013,079136
MORATALAZ,PAVONES,9260,10/1/2013,079141
MORATALAZ,HORCAJO,6528,10/1/2013,079142
MORATALAZ,MARROQUINA,28330,10/1/2013,079143
MORATALAZ,MEDIA LEGUA,18302,10/1/2013,079144
MORATALAZ,FONTARRON,17044,10/1/2013,079145
MORATALAZ,VINATEROS,17375,10/1/2013,079146
CIUDAD LINEAL,VENTAS,48726,10/1/2013,079151
CIUDAD LINEAL,PUEBLO NUEVO,61293,10/1/2013,079152
CIUDAD LINEAL,QUINTANA,24502,10/1/2013,079153
CIUDAD LINEAL,CONCEPCION,20792,10/1/2013,079154
CIUDAD LINEAL,SAN PASCUAL,18420,10/1/2013,079155
CIUDAD LINEAL,SAN JUAN BAUTISTA,12469,10/1/2013,079156
CIUDAD LINEAL,COLINA,6149,10/1/2013,079157
CIUDAD LINEAL,ATALAYA,1606,10/1/2013,079158
CIUDAD LINEAL,COSTILLARES,22483,10/1/2013,079159
HORTALEZA,PALOMAS,6718,10/1/2013,079161
HORTALEZA,PIOVERA,14380,10/1/2013,079162
HORTALEZA,CANILLAS,41611,10/1/2013,079163
HORTALEZA,PINAR DEL REY,53642,10/1/2013,079164
HORTALEZA,APOSTOL SANTIAGO,15466,10/1/2013,079165
HORTALEZA,VALDEFUENTES,41755,10/1/2013,079166
VILLAVERDE,SAN ANDRES,43313,10/1/2013,079171
VILLAVERDE,SAN CRISTOBAL,15634,10/1/2013,079172
VILLAVERDE,BUTARQUE,16270,10/1/2013,079173
VILLAVERDE,LOS ROSALES,37015,10/1/2013,079174
VILLAVERDE,LOS ANGELES,31149,10/1/2013,079175
VILLA DE VALLECAS,CASCO HISTORICO DE VALLECAS,73252,10/1/2013,079181
VILLA DE VALLECAS,SANTA EUGENIA,24854,10/1/2013,079182
VICALVARO,CASCO HISTORICO DE VICALVARO,50467,10/1/2013,079191
VICALVARO,AMBROZ,19362,10/1/2013,079192
SAN BLAS-CANILLEJAS,SIMANCAS,26275,10/1/2013,079201
SAN BLAS-CANILLEJAS,HELLIN,8981,10/1/2013,079202
SAN BLAS-CANILLEJAS,AMPOSTA,8241,10/1/2013,079203
SAN BLAS-CANILLEJAS,ARCOS,23556,10/1/2013,079204
SAN BLAS-CANILLEJAS,ROSAS,31850,10/1/2013,079205
SAN BLAS-CANILLEJAS,REJAS,14746,10/1/2013,079206
SAN BLAS-CANILLEJAS,CANILLEJAS,29188,10/1/2013,079207
SAN BLAS-CANILLEJAS,EL SALVADOR,11718,10/1/2013,079208
BARAJAS,ALAMEDA DE OSUNA,19789,10/1/2013,079211
BARAJAS,AEROPUERTO,1904,10/1/2013,079212
BARAJAS,CASCO HISTORICO DE BARAJAS,7483,10/1/2013,079213
BARAJAS,TIMON,9502,10/1/2013,079214
BARAJAS,CORRALEJOS,7193,10/1/2013,079215
